"name","country.etc","pop","lat","long","group","cycle"
"Council Bluffs IA","IA",58834,41.24,-95.86,"Union",10
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",16
"Dayton OH","OH",157607,39.78,-84.2,"Union",10
"Columbus GA","GA",184900,32.51,-84.87,"Confederate",16
"Shawnee KS","KS",59626,39.02,-94.8,"Union",10
"Columbia SC","SC",118020,34.04,-80.89,"Confederate",16
"Carol Stream IL","IL",39749,41.92,-88.13,"Union",10
"Lake Charles LA","LA",69910,30.21,-93.2,"Confederate",16
"Buffalo NY","NY",276762,42.89,-78.86,"Union",10
"Birmingham AL","AL",229300,33.53,-86.8,"Confederate",16
"Haverhill MA","MA",61928,42.78,-71.09,"Union",10
"Chattanooga TN","TN",153617,35.07,-85.26,"Confederate",17
"Pleasanton CA","CA",67119,37.67,-121.89,"Union",10
"Fort Smith AR","AR",82304,35.37,-94.38,"Confederate",17
"Kenosha WI","WI",94673,42.58,-87.85,"Union",10
"MacAllen TX","TX",125985,26.22,-98.24,"Confederate",17
"Eden Prairie MN","MN",65076,44.85,-93.46,"Union",10
"Savannah GA","GA",124898,32.02,-81.13,"Confederate",17
"Bloomington IN","IN",71260,39.17,-86.52,"Union",10
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",17
"Reading PA","PA",79476,40.34,-75.93,"Union",10
"Baton Rouge LA","LA",222217,30.45,-91.13,"Confederate",17
"Salem NH","NH",42859,42.53,-70.87,"Union",10
"Greenville SC","SC",55421,34.84,-82.37,"Confederate",17
"Bloomfield NJ","NJ",49358,40.81,-74.19,"Union",10
"Miami FL","FL",386740,25.78,-80.21,"Confederate",17
"Hillsboro OR","OR",85046,45.53,-122.94,"Union",10
"Gulfport MS","MS",71400,30.39,-89.07,"Confederate",17
"Norwalk CT","CT",84801,41.09,-73.42,"Union",10
"Sterling VA","VA",56529,39.01,-77.43,"Confederate",17
"Pawtucket RI","RI",75297,41.87,-71.37,"Union",10
"Cary NC","NC",106117,35.78,-78.8,"Confederate",17
"Gary IN","IN",96950,41.6,-87.34,"Union",11
"Clarksville TN","TN",113379,36.56,-87.35,"Confederate",18
"La Crosse WI","WI",50147,43.83,-91.23,"Union",11
"Jacksonville FL","FL",809874,30.33,-81.66,"Confederate",18
"Carol Stream IL","IL",39749,41.92,-88.13,"Union",11
"Lafayette LA","LA",112317,30.22,-92.03,"Confederate",18
"Manhattan KS","KS",45671,39.19,-96.59,"Union",11
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",18
"Saginaw MI","MI",56685,43.42,-83.95,"Union",11
"Wilson NC","NC",47191,35.73,-77.92,"Confederate",18
"Augusta ME","ME",18626,44.32,-69.77,"Union",11
"Charleston SC","SC",106372,32.79,-79.99,"Confederate",18
"Shelton CT","CT",39988,41.3,-73.14,"Union",11
"Tuscaloosa AL","AL",80164,33.24,-87.54,"Confederate",18
"Brookline MA","MA",55862,42.32,-71.14,"Union",11
"Fort Smith AR","AR",82304,35.37,-94.38,"Confederate",18
"Dubuque IA","IA",57027,42.5,-90.69,"Union",11
"Atlanta GA","GA",424096,33.76,-84.42,"Confederate",18
"Lakewood NJ","NJ",43436,40.09,-74.21,"Union",11
"Pasadena TX","TX",145351,29.66,-95.15,"Confederate",18
"Middletown OH","OH",53027,39.51,-84.37,"Union",11
"Hampton VA","VA",148201,37.05,-76.29,"Confederate",18
"Erie PA","PA",98968,42.13,-80.09,"Union",11
"Athens-Clarke GA","GA",103618,33.95,-83.39,"Confederate",19
"West Babylon NY","NY",43595,40.71,-73.36,"Union",11
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",19
"Santa Cruz CA","CA",54583,36.97,-122.04,"Union",11
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",19
"Springfield OR","OR",56575,44.05,-122.98,"Union",11
"Hickory NC","NC",40968,35.74,-81.33,"Confederate",19
"Nashua NH","NH",87113,42.75,-71.49,"Union",11
"Boca Raton FL","FL",81868,26.37,-80.11,"Confederate",19
"Pawtucket RI","RI",75297,41.87,-71.37,"Union",11
"Jackson TN","TN",62552,35.63,-88.83,"Confederate",19
"Brooklyn Park MN","MN",67660,45.11,-93.35,"Union",11
"Southaven MS","MS",40806,34.97,-90,"Confederate",19
"Springfield OH","OH",63915,39.93,-83.8,"Union",12
"Galveston TX","TX",56205,29.3,-94.81,"Confederate",19
"Augusta ME","ME",18626,44.32,-69.77,"Union",12
"Tuscaloosa AL","AL",80164,33.24,-87.54,"Confederate",19
"Joliet IL","IL",141246,41.53,-88.12,"Union",12
"Lake Charles LA","LA",69910,30.21,-93.2,"Confederate",19
"Irvington NJ","NJ",61373,40.72,-74.23,"Union",12
"Burke VA","VA",58270,38.78,-77.27,"Confederate",19
"Lenexa KS","KS",43935,38.96,-94.79,"Union",12
"MacLean VA","VA",39731,38.94,-77.18,"Confederate",20
"Lafayette IN","IN",62589,40.41,-86.87,"Union",12
"Baton Rouge LA","LA",222217,30.45,-91.13,"Confederate",20
"Andover MA","MA",67715,42.65,-71.14,"Union",12
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",20
"Woonsocket RI","RI",46297,42,-71.5,"Union",12
"North Charleston SC","SC",83247,32.91,-80.04,"Confederate",20
"Cherry Hill PA","PA",70489,39.9,-75,"Union",12
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",20
"Duluth MN","MN",84472,46.78,-92.12,"Union",12
"Macon GA","GA",93755,32.84,-83.66,"Confederate",20
"Vacaville CA","CA",98110,38.36,-121.97,"Union",12
"Charlotte NC","NC",607111,35.2,-80.83,"Confederate",20
"Mount Vernon NY","NY",68048,40.91,-73.83,"Union",12
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",20
"Salem NH","NH",42859,42.53,-70.87,"Union",12
"San Antonio TX","TX",1278171,29.46,-98.51,"Confederate",20
"Ames IA","IA",57683,42.02,-93.63,"Union",12
"Jackson TN","TN",62552,35.63,-88.83,"Confederate",20
"Muskegon MI","MI",40058,43.23,-86.26,"Union",12
"North Port FL","FL",41919,27.05,-82.19,"Confederate",20
"West Haven CT","CT",53545,41.27,-72.97,"Union",12
"Knoxville TN","TN",172000,35.97,-83.95,"Confederate",21
"Eau Claire WI","WI",63049,44.82,-91.49,"Union",12
"Jackson MS","MS",175085,32.32,-90.21,"Confederate",21
"Bend OR","OR",68945,44.07,-121.31,"Union",12
"Haltom City TX","TX",42053,32.82,-97.27,"Confederate",21
